Candidate,Party,Votes,State,Constituency,State-code,Constituency-code
BANKAR SURESH PANDURANG,Bharatiya Janata Party,82117,Maharashtra,Sillod,S13,104
MIRAKAR SUNIL PRABHAKARRAO,Shivsena,15909,Maharashtra,Sillod,S13,104
KALE DIPALI MADHUKAR,Maharashtra Navnirman sena,3465,Maharashtra,Sillod,S13,104
MANKAR RAJU DINKAR,Nationalist Congress Party,1824,Maharashtra,Sillod,S13,104
AALNE DADARAO SHRIRAM,Bahujan Samaj Party,1749,Maharashtra,Sillod,S13,104
VINOD ASHOK PAGARE,Independent,1528,Maharashtra,Sillod,S13,104
WANKHEDE DADRAO KISANRAO,Independent,1319,Maharashtra,Sillod,S13,104
MOHMMADSHAH ANWARSHAH,Independent,553,Maharashtra,Sillod,S13,104
NAMDEV SHIVRAM RAUT,Independent,482,Maharashtra,Sillod,S13,104
DEVALE DADARAO RAMBHAU,Bahujan Mukti Party,479,Maharashtra,Sillod,S13,104
ADV. RATHOD YOGIRAJ DHANAJI,Independent,382,Maharashtra,Sillod,S13,104
DADARAO BHIKA SAWALE,Independent,282,Maharashtra,Sillod,S13,104
DASHRATH NARAYAN SURADKAR,Independent,229,Maharashtra,Sillod,S13,104
GOVINDRAO SHAMRAO SONWANE,Independent,225,Maharashtra,Sillod,S13,104
ASHOK VITTHAL SONWANE,Independent,179,Maharashtra,Sillod,S13,104
None of the Above,None of the Above,3121,Maharashtra,Sillod,S13,104
JADHAV HARSHVARDHAN RAIBHAN,Shivsena,62542,Maharashtra,Kannad,S13,105
UDAYSING SARDARSING RAJPUT,Nationalist Congress Party,60981,Maharashtra,Kannad,S13,105
DR. SANJAY GAVHANE,Bharatiya Janata Party,28037,Maharashtra,Kannad,S13,105
NAMDEVRAO RAMRAO PAWAR,Indian National Congress,21865,Maharashtra,Kannad,S13,105
RATHOD MARUTI GULABRAO,Rashtriya Samaj Paksha,5732,Maharashtra,Kannad,S13,105
SUBHASH PATIL,Maharashtra Navnirman sena,3602,Maharashtra,Kannad,S13,105
RATHOD KESHAV MANSING,Bahujan Samaj Party,3522,Maharashtra,Kannad,S13,105
KADUBA LAXMANRAO PAWAR,Bahujan Mukti Party,904,Maharashtra,Kannad,S13,105
SAYYAD ISAQ YUSUF,Independent,794,Maharashtra,Kannad,S13,105
MUNJAL BAPU SUBHASH,Independent,698,Maharashtra,Kannad,S13,105
KAZI NASIRODDIN NAIMODIN,Independent,511,Maharashtra,Kannad,S13,105
AVINASH LAXMIKANT CHAVAN,Independent,499,Maharashtra,Kannad,S13,105
None of the Above,None of the Above,2094,Maharashtra,Kannad,S13,105
BAGDE HARIBHAU KISANRAO,Bharatiya Janata Party,73294,Maharashtra,Phulambri,S13,106
DR. KALYAN VAIJINATHRAO KALE,Indian National Congress,69683,Maharashtra,Phulambri,S13,106
ANURADHATAI ATUL CHAVHAN,Nationalist Congress Party,31959,Maharashtra,Phulambri,S13,106
THOMBRE RAJENDRA GANGADHAR,Shivsena,17546,Maharashtra,Phulambri,S13,106
DAHIHANDE RAMESH GANGADHAR,Independent,6502,Maharashtra,Phulambri,S13,106
SALVE VINOD AMBADAS,Bahujan Samaj Party,4220,Maharashtra,Phulambri,S13,106
BHASKAR JAGNANATH GADEKAR,Maharashtra Navnirman sena,1752,Maharashtra,Phulambri,S13,106
SHRIMANT LAXMAN GADEKAR,Independent,941,Maharashtra,Phulambri,S13,106
ROHIDAS SANDU JADHAV,Independent,775,Maharashtra,Phulambri,S13,106
BALASAHEB BHIMRAO GARUD,Peasants And Workers Party of India,488,Maharashtra,Phulambri,S13,106
MIRZA KAUSAR BEG AJIJ BEG,Independent,430,Maharashtra,Phulambri,S13,106
AMARSINH SURESH DESHMUKH,Independent,376,Maharashtra,Phulambri,S13,106
ADV.ASARAM DHUPAJI LAHANE  PATIL,Janata Dal  (Secular),269,Maharashtra,Phulambri,S13,106
None of the Above,None of the Above,1661,Maharashtra,Phulambri,S13,106
SAYED IMTIAZ JALIL,All India Majlis-E-Ittehadul Muslimeen,61843,Maharashtra,Aurangabad central,S13,107
PRADEEP JAISWAL,Shivsena,41861,Maharashtra,Aurangabad central,S13,107
TANWANI KISHANCHAND LEKHRAJ,Bharatiya Janata Party,40770,Maharashtra,Aurangabad central,S13,107
PATIL VINOD NARAYAN,Nationalist Congress Party,11842,Maharashtra,Aurangabad central,S13,107
JAGTAP SANJAY UTTAMRAO,Bahujan Samaj Party,11048,Maharashtra,Aurangabad central,S13,107
M.M. SHAIKH,Indian National Congress,9093,Maharashtra,Aurangabad central,S13,107
RAJGAURAV HARIDAS WANKHEDE,Maharashtra Navnirman sena,6291,Maharashtra,Aurangabad central,S13,107
AFSAR KHAN YASIN KHAN,Samajwadi Party,2319,Maharashtra,Aurangabad central,S13,107
BABANRAO UMAJI JAGTAP,Independent,486,Maharashtra,Aurangabad central,S13,107
VIJAYKUMAR DEORAO KHOTKAR,Ambedkarite Party of India,413,Maharashtra,Aurangabad central,S13,107
BANTY RAJU CHAVARIYA,Independent,379,Maharashtra,Aurangabad central,S13,107
DANDGE AMOL RATNAKAR,Independent,249,Maharashtra,Aurangabad central,S13,107
SONWANE BHIMRAO PRALHAD,Independent,197,Maharashtra,Aurangabad central,S13,107
UJWALA BABA JADHAV,Independent,196,Maharashtra,Aurangabad central,S13,107
FARUQUI MOINODDIN HASNODDIN,Independent,189,Maharashtra,Aurangabad central,S13,107
MUKESH SUKHBIR LAHOT,Independent,161,Maharashtra,Aurangabad central,S13,107
PATHAN AHEMAD KHAN PATHAN WAHED KHAN,Independent,150,Maharashtra,Aurangabad central,S13,107
ANANDKUMAR NAMDEO MAGRE,Republican Party of India,149,Maharashtra,Aurangabad central,S13,107
None of the Above,None of the Above,833,Maharashtra,Aurangabad central,S13,107
SANJAY SHIRSAT,Shivsena,61282,Maharashtra,Aurangabad West,S13,108
MADHUKAR DAMODHAR SAWANT,Bharatiya Janata Party,54355,Maharashtra,Aurangabad West,S13,108
GANGADHAR SUKHDEVRAO GADE,Panthers Republican Party,35348,Maharashtra,Aurangabad West,S13,108
DR.JITENDRA ANKUSHRAO DEHADE,Indian National Congress,14798,Maharashtra,Aurangabad West,S13,108
MILIND YASHWANTRAO DABHADE,Nationalist Congress Party,5198,Maharashtra,Aurangabad West,S13,108
DABHADE SUGANDH SITARAM,Bahujan Samaj Party,4399,Maharashtra,Aurangabad West,S13,108
JAYPRAKASH SHANKARRAO NARNAVRE,Bahujan Mukti Party,1871,Maharashtra,Aurangabad West,S13,108
GAUTAM RAMESH AAMRAO,Maharashtra Navnirman sena,1858,Maharashtra,Aurangabad West,S13,108
ARJUN BHAGWANRAO GALPHADE,Independent,919,Maharashtra,Aurangabad West,S13,108
SHENDGE JALINDAR MAHADEO,Independent,870,Maharashtra,Aurangabad West,S13,108
SIDDHODHAN KACHRU MORE,Republican Sena,788,Maharashtra,Aurangabad West,S13,108
EKHARE SANJIVKUMAR GANESH,Republican Paksha (Khoripa),635,Maharashtra,Aurangabad West,S13,108
ENGG.DIPAK SURESH RAUT,Bharipa Bahujan Mahasangh,554,Maharashtra,Aurangabad West,S13,108
BHAUSAHEB WAMANRAO NIKALJE,Independent,508,Maharashtra,Aurangabad West,S13,108
DIVEKAR RAJKUMAR PANDITRAO,Independent,431,Maharashtra,Aurangabad West,S13,108
GHAZI SAADUDDIN ZAHEER AHMED,Independent,413,Maharashtra,Aurangabad West,S13,108
SHIVAJI UATTAM BHARSKAR,Sanatan Sanskriti Raksha Dal,261,Maharashtra,Aurangabad West,S13,108
RANJANA DILIP SHINDE,Independent,191,Maharashtra,Aurangabad West,S13,108
None of the Above,None of the Above,1131,Maharashtra,Aurangabad West,S13,108
ATUL MORESHWAR SAVE,Bharatiya Janata Party,64528,Maharashtra,Aurangabad East,S13,109
DR. ABDUL GAFFAR QUADRI,All India Majlis-E-Ittehadul Muslimeen,60268,Maharashtra,Aurangabad East,S13,109
DARDA RAJENDRA JAWAHARLAL,Indian National Congress,21203,Maharashtra,Aurangabad East,S13,109
KALA  OZA,Shivsena,11409,Maharashtra,Aurangabad East,S13,109
KACHARU SHRIPAT SONAWANE,Bahujan Samaj Party,5364,Maharashtra,Aurangabad East,S13,109
UTTAMSINGH  RAJDHARSINGH PAWAR,Independent,2885,Maharashtra,Aurangabad East,S13,109
ZUBER AMANULLAH MOTIWALA,Nationalist Congress Party,2121,Maharashtra,Aurangabad East,S13,109
DR.KANGO BHALCHANDRA KHANDERAO,Communist Party of India,1592,Maharashtra,Aurangabad East,S13,109
SUMEET SHYAM KHAMBEKAR,Maharashtra Navnirman sena,1419,Maharashtra,Aurangabad East,S13,109
PAKHARE VISHAL KADUBA,Independent,619,Maharashtra,Aurangabad East,S13,109
MOBINUDDIN KHADIRUDDIN SIDDIQUI,Independent,554,Maharashtra,Aurangabad East,S13,109
KURHE LAXMAN VITTHAL,Independent,358,Maharashtra,Aurangabad East,S13,109
KUNJABIHARI JUGALKISHOR AGRAWAL,Independent,313,Maharashtra,Aurangabad East,S13,109
ISA YASIN,Majlis Bachao Tahreek,256,Maharashtra,Aurangabad East,S13,109
GHUGE NITIN PUNDALIK,Independent,181,Maharashtra,Aurangabad East,S13,109
DILIP RAMCHANDRA DHEPE,Independent,160,Maharashtra,Aurangabad East,S13,109
ADV.LAXMAN KADUBA PATIL  PRADHAN,Independent,157,Maharashtra,Aurangabad East,S13,109
DR. VINOD TARASINGH CHAVAN,Bahujan Mukti Party,135,Maharashtra,Aurangabad East,S13,109
MIRZA NISAR BAIG AJIJ BAIG,Samajwadi Party,134,Maharashtra,Aurangabad East,S13,109
SHAIKH JIYAULLA SHAIKH AKABAR,Hindustan Janta Party,121,Maharashtra,Aurangabad East,S13,109
KADAM BHARAT PURUSHOTTAM,Independent,114,Maharashtra,Aurangabad East,S13,109
SAJID BEGU PATEL,Independent,105,Maharashtra,Aurangabad East,S13,109
KHULAS LAXMAN WAGH,Independent,105,Maharashtra,Aurangabad East,S13,109
JAGDISH MAHARAJ KHARAT,Independent,98,Maharashtra,Aurangabad East,S13,109
SHAIKH A. RAUF M. YOUSUF,Independent,89,Maharashtra,Aurangabad East,S13,109
JAWAHARLAL LAKSHMAN BHAGURE,Independent,83,Maharashtra,Aurangabad East,S13,109
SALIM  KASIM PATEL WAHEGAONKAR,Independent,83,Maharashtra,Aurangabad East,S13,109
MOHAMMAD KISMATWALA KASIM,Gareeb Aadmi Party,65,Maharashtra,Aurangabad East,S13,109
SHAIKH RAFIK SHAIKH RAJJAK,Independent,63,Maharashtra,Aurangabad East,S13,109
SHAIKH HABIB SHAIKH GAYAS,Independent,54,Maharashtra,Aurangabad East,S13,109
None of the Above,None of the Above,786,Maharashtra,Aurangabad East,S13,109
BHUMRE SANDIPANRAO AASARAM,Shivsena,66991,Maharashtra,Paithan,S13,110
WAGHCHAURE SANJAY YADAVRAO,Nationalist Congress Party,41952,Maharashtra,Paithan,S13,110
HIWALE VINAYAK LAXMAN,Bharatiya Janata Party,29957,Maharashtra,Paithan,S13,110
KALE RAVINDRA SHIVAJIRAO,Indian National Congress,24957,Maharashtra,Paithan,S13,110
SUNIL SHIVAJI SHINDE,Maharashtra Navnirman sena,7091,Maharashtra,Paithan,S13,110
CHORMALE RAMNATH KHUSHALRAO,Independent,5867,Maharashtra,Paithan,S13,110
SHAIKH ABBAS SHAIKH KASAM,Independent,5009,Maharashtra,Paithan,S13,110
AKBAR RAHIMODDIN SHAIKH,Bahujan Samaj Party,1756,Maharashtra,Paithan,S13,110
BABASAHEB BHAUSAHEB JADHAV,Independent,1318,Maharashtra,Paithan,S13,110
GAIKWAD RAJESH,Independent,1210,Maharashtra,Paithan,S13,110
RANPISE SHAILENDRA VILAS,Independent,1098,Maharashtra,Paithan,S13,110
RANJANA DNYANOBA KASAB,Bahujan Mukti Party,1004,Maharashtra,Paithan,S13,110
CHANDRASHEKHAR KACHARU SARODE,Peasants And Workers Party of India,936,Maharashtra,Paithan,S13,110
NAYNA RANGNATH GAWALI,Independent,696,Maharashtra,Paithan,S13,110
ASHOK CHANDRABHAN KUNDHHARE,Independent,688,Maharashtra,Paithan,S13,110
GHULE BABASAHEB RAMRAO,Independent,638,Maharashtra,Paithan,S13,110
VIJAYSINH PANDITRAO BODKHE,Independent,603,Maharashtra,Paithan,S13,110
NAHULIKAR SUNIL KESHAV,Ambedkar National Congress,481,Maharashtra,Paithan,S13,110
RUPEKAR SHYAM PAVALAS,Independent,408,Maharashtra,Paithan,S13,110
None of the Above,None of the Above,1382,Maharashtra,Paithan,S13,110
BAMB PRASHANT BANSILAL,Bharatiya Janata Party,55483,Maharashtra,Gangapur,S13,111
AMBADAS EKNATH DANVE,Shivsena,38205,Maharashtra,Gangapur,S13,111
KRISHNA SAHEBRAO PA. DONGAOKAR,Nationalist Congress Party,33216,Maharashtra,Gangapur,S13,111
KHOSRE SHOBHABAI JAGANNATH,Indian National Congress,16826,Maharashtra,Gangapur,S13,111
CHAVHAN SARJERAO VISHWANATH,Independent,14238,Maharashtra,Gangapur,S13,111
ASHOK GORAKHNATH JADHAV,Independent,5404,Maharashtra,Gangapur,S13,111
PATEL BADSHA ABDUL,Maharashtra Navnirman sena,5302,Maharashtra,Gangapur,S13,111
ANKUSH GATKAL,Independent,3049,Maharashtra,Gangapur,S13,111
SHAIKH HABIB YUSUFODDIN,Bahujan Samaj Party,3046,Maharashtra,Gangapur,S13,111
BAHETI RAM SITARAM,Communist Party of India,2400,Maharashtra,Gangapur,S13,111
BAIGYA JAMLAL CHAUHAN,Independent,1254,Maharashtra,Gangapur,S13,111
SURESH (ANNA) PURHE,Independent,1237,Maharashtra,Gangapur,S13,111
SAYYAD GULAMNABI GAFUR,Samajwadi Party,1038,Maharashtra,Gangapur,S13,111
KADUBA HIVALE(ANNA),Bharipa Bahujan Mahasangh,828,Maharashtra,Gangapur,S13,111
JAGANNATH KASHINATH TANGDE,Independent,506,Maharashtra,Gangapur,S13,111
DHAMDHERE NANDU VISHVNATH,Independent,481,Maharashtra,Gangapur,S13,111
ADV. SUNILKUMAR KEVTE,Republican Party of India,280,Maharashtra,Gangapur,S13,111
None of the Above,None of the Above,1331,Maharashtra,Gangapur,S13,111
BHAUSAHEB PATIL CHIKATGAONKAR,Nationalist Congress Party,53114,Maharashtra,Vaijapur,S13,112
R. M. WANI,Shivsena,48405,Maharashtra,Vaijapur,S13,112
DR. DINESHSBHAU PARDESHI,Indian National Congress,41346,Maharashtra,Vaijapur,S13,112
EKANATH KHANDERAO JADHAV,Bharatiya Janata Party,24243,Maharashtra,Vaijapur,S13,112
RAMHARI KARBHARI JADHAV,Peasants And Workers Party of India,12648,Maharashtra,Vaijapur,S13,112
DANGODE KALYAN DNYANESHWAR,Maharashtra Navnirman sena,5924,Maharashtra,Vaijapur,S13,112
BABASAHEB BAPURAO PAGARE,Bahujan Samaj Party,2453,Maharashtra,Vaijapur,S13,112
NARAYAN SOMILAL BANKAR,Bahujan Mukti Party,1043,Maharashtra,Vaijapur,S13,112
SHRIRAM ASARAM PAWAR,Independent,614,Maharashtra,Vaijapur,S13,112
SUDESH NARAYANRAO NICHAL,Independent,583,Maharashtra,Vaijapur,S13,112
JADHAV AMBADAS TULSHIRAM,Independent,485,Maharashtra,Vaijapur,S13,112
FULARE BHARAT ASARAM,Independent,455,Maharashtra,Vaijapur,S13,112
KADU RAJENDRA SAMPATRAO,Independent,421,Maharashtra,Vaijapur,S13,112
None of the Above,None of the Above,1206,Maharashtra,Vaijapur,S13,112
PANKAJ CHHAGAN BHUJBAL,Nationalist Congress Party,69263,Maharashtra,Nandgaon,S13,113
SUHAS DWARKANATH KANDE,Shivsena,50827,Maharashtra,Nandgaon,S13,113
HIRAY -PATIL ADVAY PRASHANT,Bharatiya Janata Party,50351,Maharashtra,Nandgaon,S13,113
AHER ANILKUMAR GANGADHAR,Indian National Congress,16464,Maharashtra,Nandgaon,S13,113
ADV. SANAP JAYANT SHIVAJI,Maharashtra Navnirman sena,3185,Maharashtra,Nandgaon,S13,113
SANJAY BABANRAO SANAP,Communist Party of India,1942,Maharashtra,Nandgaon,S13,113
SHANTARAM DASHRATH DESAI,Independent,1748,Maharashtra,Nandgaon,S13,113
SURAJ BHIMRAO GAIKWAD,Bahujan Samaj Party,1629,Maharashtra,Nandgaon,S13,113
SHAKUNTALA MORE,Independent,1016,Maharashtra,Nandgaon,S13,113
SONAWALA SABIHA AKBAR,Independent,752,Maharashtra,Nandgaon,S13,113
SAMADHAN BHAGWAN JAGTAP,Bahujan Mukti Party,596,Maharashtra,Nandgaon,S13,113
ANIL MHASU AHER,Independent,582,Maharashtra,Nandgaon,S13,113
SURYAVANSHI PRAVIN RAJARAM,Independent,551,Maharashtra,Nandgaon,S13,113
PAWAR PRASADRAO HIRAMANRAO,Independent,406,Maharashtra,Nandgaon,S13,113
SUDARSHAN RAGHUNATHRAO KADAM,Independent,325,Maharashtra,Nandgaon,S13,113
None of the Above,None of the Above,1435,Maharashtra,Nandgaon,S13,113
SHAIKH AASIF SHAIKH RASHID,Indian National Congress,75326,Maharashtra,Malegaon central,S13,114
MUFTI MOH. ISMILE KASMI,Nationalist Congress Party,59175,Maharashtra,Malegaon central,S13,114
A. MALIK MO. YUNUS,All India Majlis-E-Ittehadul Muslimeen,21050,Maharashtra,Malegaon central,S13,114
BULAND IQBAL NIHAL AH.,Janata Dal  (Secular),6721,Maharashtra,Malegaon central,S13,114
SAJID AKHTAR ETEJAJUDDIN,Shivsena,1375,Maharashtra,Malegaon central,S13,114
RAJESH MANGU MORE,Bahujan Samaj Party,703,Maharashtra,Malegaon central,S13,114
MOH. ISMILE JUMMAN,Independent,654,Maharashtra,Malegaon central,S13,114
AYAZ AHEMAD MOHAMMAD SULTAN,Independent,303,Maharashtra,Malegaon central,S13,114
SAYYAD SALIM SAYYAD ALEEM,Independent,268,Maharashtra,Malegaon central,S13,114
AARIF BILAL,Independent,238,Maharashtra,Malegaon central,S13,114
KHAN HAMEED KASAM,Bharatiya Minorities Suraksha Mahasangh,210,Maharashtra,Malegaon central,S13,114
ABDUL WAHID MOH. SHARIF,Independent,127,Maharashtra,Malegaon central,S13,114
None of the Above,None of the Above,1259,Maharashtra,Malegaon central,S13,114
BHUSE DADAJI DAGDU,Shivsena,82093,Maharashtra,Malegaon outer,S13,115
THAKRE PAWAN YASHVANT,Bharatiya Janata Party,44672,Maharashtra,Malegaon outer,S13,115
GAIKWAD SUNIL (AABA) BABULAL,Nationalist Congress Party,34117,Maharashtra,Malegaon outer,S13,115
SANDEEP (BAPU) SANTOSH PATIL,Maharashtra Navnirman sena,8561,Maharashtra,Malegaon outer,S13,115
DR. RAJENDRA RAJARAM THAKRE,Indian National Congress,4551,Maharashtra,Malegaon outer,S13,115
KACHAVE VYANKANT RAMCHANDRA,Bahujan Samaj Party,2702,Maharashtra,Malegaon outer,S13,115
KAILAS MAHARU PAWAR,Independent,1160,Maharashtra,Malegaon outer,S13,115
ADV. DEORE CHANDRASHEKHAR SHIVAJI,Independent,786,Maharashtra,Malegaon outer,S13,115
NIMBA RAMA MALI,Independent,557,Maharashtra,Malegaon outer,S13,115
FAHEEM AH. MAHEMUDUL HASAN,Independent,457,Maharashtra,Malegaon outer,S13,115
None of the Above,None of the Above,1254,Maharashtra,Malegaon outer,S13,115
CHAVAN DIPIKA SANJAY,Nationalist Congress Party,68434,Maharashtra,Baglan ,S13,116
BORSE DILIP MANGLU,Bharatiya Janata Party,64253,Maharashtra,Baglan ,S13,116
SADHANA VASANT GAVLI,Shivsena,9108,Maharashtra,Baglan ,S13,116
JAYSHREE MACHINDRA BARDE,Indian National Congress,6946,Maharashtra,Baglan ,S13,116
MALI BAPU SHRAVAN,Maharashtra Navnirman sena,2322,Maharashtra,Baglan ,S13,116
ALKA PANDIT MALI,Bahujan Samaj Party,1152,Maharashtra,Baglan ,S13,116
SHINDE MAHESH TRAMBAK,Independent,932,Maharashtra,Baglan ,S13,116
SONAWANE ABHIMAN FULA,Independent,811,Maharashtra,Baglan ,S13,116
MORE PRAMILA SOMANATH,Independent,604,Maharashtra,Baglan ,S13,116
AHIRE SHIVAJI TRYAMBAK,Independent,460,Maharashtra,Baglan ,S13,116
VANDANA RAVINDRA MALI,Independent,402,Maharashtra,Baglan ,S13,116
None of the Above,None of the Above,1212,Maharashtra,Baglan ,S13,116
GAVIT JIVA PANDU,Communist Party of India  (Marxist),67795,Maharashtra,Kalwan ,S13,117
ARJUN TULSHIRAM PAWAR,Nationalist Congress Party,63009,Maharashtra,Kalwan ,S13,117
GAVALI YASHWANT LAXMAN,Bharatiya Janata Party,25457,Maharashtra,Kalwan ,S13,117
WAGHMARE BHARAT LAXMAN,Shivsena,9024,Maharashtra,Kalwan ,S13,117
GANGURDE DHANRAJ KRISHNA,Indian National Congress,5699,Maharashtra,Kalwan ,S13,117
KHOTARE TULSHIRAM CHIMAN,Bahujan Samaj Party,1395,Maharashtra,Kalwan ,S13,117
BAGUL WAMANRAO KADU,Independent,887,Maharashtra,Kalwan ,S13,117
None of the Above,None of the Above,1623,Maharashtra,Kalwan ,S13,117
DR. AHER RAHUL DAULTRAO,Bharatiya Janata Party,54946,Maharashtra,Chandvad,S13,118
KOTWAL SHIRISHKUMAR VASANTRAO,Indian National Congress,43785,Maharashtra,Chandvad,S13,118
DR. ATMARAM  POPAT NARAYAN,Independent,29409,Maharashtra,Chandvad,S13,118
UTTAM GANPAT BHALERAO,Nationalist Congress Party,27295,Maharashtra,Chandvad,S13,118
AHER NITIN RAGHUNATH,Shivsena,19032,Maharashtra,Chandvad,S13,118
DATTU RAMCHANDRA GANGURDE,Communist Party of India,3327,Maharashtra,Chandvad,S13,118
ASHOK BHIVAJI HIRE,Independent,2178,Maharashtra,Chandvad,S13,118
NAVALKISHOR ANNASAHEB SHINDE,Maharashtra Navnirman sena,1654,Maharashtra,Chandvad,S13,118
SHINDE SANTU UTTAM,Independent,502,Maharashtra,Chandvad,S13,118
ALKA MAHENDRA KEDARE,Independent,442,Maharashtra,Chandvad,S13,118
PAWAR SUDHAKAR PANDURANG,Bahujan Samaj Party,422,Maharashtra,Chandvad,S13,118
None of the Above,None of the Above,836,Maharashtra,Chandvad,S13,118
CHHAGAN BHUJBAL,Nationalist Congress Party,112787,Maharashtra,Yevla,S13,119
PAWAR SAMBHAJI SAHEBRAO,Shivsena,66345,Maharashtra,Yevla,S13,119
MANKAR SHIVAJI MADHAVRAO,Bharatiya Janata Party,9339,Maharashtra,Yevla,S13,119
AHIRE PAULAS KARBHARI,Bahujan Samaj Party,1101,Maharashtra,Yevla,S13,119
LAHARE NIVRUTTI MAHADU,Indian National Congress,855,Maharashtra,Yevla,S13,119
GAIKWAD ABHIJEET KALYANRAO,Independent,575,Maharashtra,Yevla,S13,119
SHAIKH A. VAHAB FAKIR MOHAMAD,Independent,535,Maharashtra,Yevla,S13,119
BANSODE PUSHPA ANIL,Independent,407,Maharashtra,Yevla,S13,119
KUSHARE NAYAN VASANT,Independent,349,Maharashtra,Yevla,S13,119
LATHE DIPAK SHASHIKANT,Bahujan Mukti Party,208,Maharashtra,Yevla,S13,119
CHAVAN DATTATRAY RAMLAL,Independent,181,Maharashtra,Yevla,S13,119
GHODERAO SUNIL BANSI,Independent,148,Maharashtra,Yevla,S13,119
SONAWANE SANJAY SITARAM,Ambedkarite Party of India,125,Maharashtra,Yevla,S13,119
None of the Above,None of the Above,876,Maharashtra,Yevla,S13,119
RAJABHAU (PARAG) PRAKASH WAJE,Shivsena,104031,Maharashtra,Sinnar,S13,120
KOKATE MANIKRAO SHIVAJI,Bharatiya Janata Party,83477,Maharashtra,Sinnar,S13,120
KALE SAMPAT SANTU,Indian National Congress,3319,Maharashtra,Sinnar,S13,120
GARJE SHUBHANGI SURESH,Nationalist Congress Party,2052,Maharashtra,Sinnar,S13,120
DR. SHASHIKANT CHANDRAKANT GAIKWAD,Bahujan Samaj Party,1520,Maharashtra,Sinnar,S13,120
SONAWANE RANGA MAHADU,Independent,565,Maharashtra,Sinnar,S13,120
DR.VIJAY DADA SANAP,Republican Party of India,477,Maharashtra,Sinnar,S13,120
ADHAR SUDAM FATTU,Independent,380,Maharashtra,Sinnar,S13,120
None of the Above,None of the Above,899,Maharashtra,Sinnar,S13,120
ANIL SAHEBRAO KADAM,Shivsena,78186,Maharashtra,Niphad ,S13,121
BANKAR DILIPRAO SHANKARRAO,Nationalist Congress Party,74265,Maharashtra,Niphad ,S13,121
PATIL VAIKUNTH VIJAY,Bharatiya Janata Party,18031,Maharashtra,Niphad ,S13,121
MOGAL RAJENDRA MALOJIRAO,Indian National Congress,5871,Maharashtra,Niphad ,S13,121
DHARMENDRA MADHUKAR JADHAV,Bahujan Samaj Party,3209,Maharashtra,Niphad ,S13,121
HOLKAR SUBHASH SAMPATRAO,Maharashtra Navnirman sena,1360,Maharashtra,Niphad ,S13,121
SHAIKH NAIM SHABBIR,Independent,377,Maharashtra,Niphad ,S13,121
None of the Above,None of the Above,1177,Maharashtra,Niphad ,S13,121
ZIRWAL NARHARI SITARAM,Nationalist Congress Party,68284,Maharashtra,Dindori ,S13,122
DHANRAJ HARIBHAU MAHALE,Shivsena,55651,Maharashtra,Dindori ,S13,122
CHAROSKAR RAMDAS KISANRAO,Indian National Congress,43415,Maharashtra,Dindori ,S13,122
ADV.DATTU SITARAM PADVI,Communist Party of India  (Marxist),13924,Maharashtra,Dindori ,S13,122
SUDHAKAR DHONDIRAM RAUT,Maharashtra Navnirman sena,8406,Maharashtra,Dindori ,S13,122
ASHOK SHIVAJI BURUNGE,Bharatiya Janata Party,6996,Maharashtra,Dindori ,S13,122
CHANDRASHEKHAR BABURAO KAMBLE,Bahujan Samaj Party,1966,Maharashtra,Dindori ,S13,122
GUMBADE RANGNATH KARBHARI,Independent,820,Maharashtra,Dindori ,S13,122
DIPAK KISAN PAWAR,Independent,604,Maharashtra,Dindori ,S13,122
TANAJI PANDHARINATH MALEKAR,Independent,530,Maharashtra,Dindori ,S13,122
None of the Above,None of the Above,1230,Maharashtra,Dindori ,S13,122
BALASAHEB MAHADU SANAP,Bharatiya Janata Party,78941,Maharashtra,Nashik East,S13,123
CHANDRAKANT (RAJU ANNA) PANDURANG LAVTE,Shivsena,32567,Maharashtra,Nashik East,S13,123
NIMSE UDHAV BABURAV,Indian National Congress,19509,Maharashtra,Nashik East,S13,123
PINGALE DEVIDAS ANANDRAO,Nationalist Congress Party,13005,Maharashtra,Nashik East,S13,123
RAMESH SHANKAR DHONGADE(R. D.),Maharashtra Navnirman sena,12488,Maharashtra,Nashik East,S13,123
GANGURDE MUKUND HIRAMAN,Bahujan Samaj Party,6693,Maharashtra,Nashik East,S13,123
ADV. CHANDRAMORE RAJENDRA SHYAMRAO,Republican Sena,395,Maharashtra,Nashik East,S13,123
MOTIRAM (KAILAS)LAXMAN PAGARE,Ambedkarite Party of India,273,Maharashtra,Nashik East,S13,123
PRAMOD (GANESH) KISAN PELMAHALE,Independent,273,Maharashtra,Nashik East,S13,123
RADHAKRISHA DHERURAM DHANJAL,Independent,265,Maharashtra,Nashik East,S13,123
PALLVI UDYARAO GANGURDE,Independent,255,Maharashtra,Nashik East,S13,123
BAGUL VIJAY RAMCHANDRA,Independent,248,Maharashtra,Nashik East,S13,123
PATIL RAMESHCHANDRA CHANGDEV,Hindu Ekta Andolan Party,188,Maharashtra,Nashik East,S13,123
PATHAN FAYYAZ KHAN USMAN,Awami Vikas Party,128,Maharashtra,Nashik East,S13,123
KIRAN PANDURANG DARADE,Independent,125,Maharashtra,Nashik East,S13,123
None of the Above,None of the Above,1795,Maharashtra,Nashik East,S13,123
FARANDE DEVAYANI SUHAS,Bharatiya Janata Party,61548,Maharashtra,Nashik central,S13,124
